Fecha Descarga;IdDataset;Nombre;Sector;Número de recursos;Número de descargas;Número de votos;Formatos;Frecuencia de actualización;Fecha de incorporación;Fecha última actualización de metadatos;Fecha última actualización de datos
29/08/2019;;BiciMAD. Cuantificación económica del cumplimiento del nivel del servicio;Transporte;;925;468;,XLS;Trimestral;41710;;
29/08/2019;;BiciMAD. Datos de la situación de estaciones bicimad por día y hora;Transporte;;518;6;,ZIP;Mensual;43679;;
29/08/2019;;BiciMAD. Datos de los itinerarios de las bicicletas eléctricas;Transporte;;807;9;,ZIP;Mensual;42103;;
29/08/2019;;BiciMAD. Disponibilidad de unidades (bicicletas) del servicio público de bicicleta eléctrica ;Transporte;;2503;973;,CSV;Semanal;42237;;
29/08/2019;;Boletín Oficial del Ayuntamiento;Sector público;;624;9020;,RSS;Diaria;41710;;
29/08/2019;;Bomberos. Parques de bomberos;Seguridad;;36410;888;,CSV,GEO,JSON,RDF,API;Anual;43245;;
29/08/2019;;Cajeros en vía pública;Comercio;;578;5;,XLS;Anual;43024;;
29/08/2019;;Calendario de carreras urbanas. Temporada vigente;Deporte;;549;4;,XLS;Semanal;43487;;
29/08/2019;;Calendario de carreras urbanas. Temporadas anteriores;Deporte;;73;4;,XLS;Anual;42738;;
29/08/2019;;Calendario laboral ;Sector público;;34771;204;,CSV,XLS;Anual;43175;;
29/08/2019;;Calidad de las aguas regeneradas;Medio ambiente;;853;15;,XLS;Trimestral;42471;;
29/08/2019;;Calidad del aire. Datos diarios años 2001 a 2019;Medio ambiente;;45494;1580;,CSV,XML;Mensual;42843;;
29/08/2019;;Calidad del aire. Datos en tiempo real;Medio ambiente;;781553;3424;,CSV,XML;Tiempo real;42110;;
29/08/2019;;Calidad del aire. Datos horarios años 2001 a 2019;Medio ambiente;;26958;1365;,ZIP;Mensual;43679;;
29/08/2019;;Calidad del aire. Estaciones de control;Medio ambiente;;55820;1095;,CSV,XLS;Anual;42796;;
29/08/2019;;Callejero municipal. Ejes de viario;Urbanismo e infraestructuras;;832;15;,ZIP;Mensual;42934;;
29/08/2019;;Callejero Oficial del Ayuntamiento de Madrid;Urbanismo e infraestructuras;;25323;1894;,CSV;Diaria;42103;;
29/08/2019;;Callejero Oficial del Ayuntamiento de Madrid  (Servicio Web);Urbanismo e infraestructuras;;336;13;,XML;Tiempo real;43388;;
29/08/2019;;Callejero. Cambios de denominación Comisionado de Memoria Histórica;Urbanismo e infraestructuras;;1644;60;,XLS;Sin definir;41834;;
29/08/2019;;Callejero. Información adicional asociada. Códigos postales, zonas SER, categoría fiscal, parcela catastral, etc.;Urbanismo e infraestructuras;;11929;1745;,TXT;Mensual;43523;;
29/08/2019;;Campañas de aforos de bici, motos y peatonales;Transporte;;689;18;,XLS;Anual;42968;;
29/08/2019;;Carga y descarga. Reserva de estacionamiento para carga y descarga de mercancías en vía pública;Transporte;;27605;1345;,CSV,GEO,XLS;Anual;42038;;
29/08/2019;;Carteles informativos de zonas de videovigilancia en la vía pública;Seguridad;;183;6;,XLS;Anual;43343;;
29/08/2019;;Cartografía del Ayuntamiento de Madrid. Servicio WMS;Urbanismo e infraestructuras;;15672;1583;,WMS;Anual;41710;;
29/08/2019;;Cartografía municipal por distritos a escala 1:1000, formato SHP, ETRS89;Urbanismo e infraestructuras;;46640;1344;,SHP;Anual;43388;;
29/08/2019;;Cartografía municipal por distritos a escala 1:20000, formato SHP, ETRS89;Urbanismo e infraestructuras;;7150;1295;,SHP;Anual;42900;;
29/08/2019;;Cartografía municipal por distritos a escala 1:5000, formato SHP, ETRS89;Urbanismo e infraestructuras;;8909;1639;,SHP;Anual;43614;;
29/08/2019;;Catálogo de edificios protegidos. Cambios de catalogación;Urbanismo e infraestructuras;;5504;48;,XLS;Anual;43606;;
29/08/2019;;Catálogo de Información Pública del Ayuntamiento de Madrid;Sector público;;107;5;,XLS;Sin definir;42129;;
29/08/2019;;Catastro. Datos catastrales estadísticos a nivel de distrito y barrio;Hacienda;;4053;951;,XLS;Anual;42103;;
29/08/2019;;Cementerios de Madrid;Sociedad y bienestar;;4641;6162;,CSV,GEO,JSON,RDF,API;Anual;41816;;
29/08/2019;;Censo de animales domésticos por distrito;Salud;;10496;1598;,XLS;Anual;41808;;
