datos_año;clase_inmueble;distrito_cod;distrito_nombre;barrio_cod;barrio_nombre;uso_cod;uso_deno;inmuebles_barrio;año_cons_medio;sup_cons_barrio;sup_cons_media;sup_suelo_barrio;sup_suelo_media;val_cat_barrio;val_cat_medio
2016;UR;01;Centro;011;PALACIO;A;Almacén-Estacionamiento;3029;1970,00;214116,00;71,00;;;128748539,35 €;42505,30 €
2016;UR;01;Centro;011;PALACIO;C;Comercial;1423;1921,00;226214,00;159,00;;;413765360,48 €;290769,75 €
2016;UR;01;Centro;011;PALACIO;E;Cultural;36;1937,00;62899,00;1747,00;;;75746642,40 €;2104073,40 €
2016;UR;01;Centro;011;PALACIO;G;Ocio y Hostelería;259;1908,00;116676,00;450,00;;;203319557,03 €;785017,59 €
2016;UR;01;Centro;011;PALACIO;I;Industrial;22;1942,00;13228,00;601,00;;;11807949,49 €;536724,98 €
2016;UR;01;Centro;011;PALACIO;K;Deportivo;8;1946,00;8093,00;1012,00;;;11362035,84 €;1420254,48 €
2016;UR;01;Centro;011;PALACIO;M;Suelos sin edificar, obras de urbanización y jardinería;66;;;;135976,00;2060,00;35399469,72 €;536355,60 €
2016;UR;01;Centro;011;PALACIO;O;Oficinas;559;1945,00;177544,00;318,00;;;309348617,38 €;553396,45 €
2016;UR;01;Centro;011;PALACIO;P;Edificio Singular;15;1891,00;197446,00;13163,00;;;281542896,41 €;18769526,43 €
2016;UR;01;Centro;011;PALACIO;R;Religioso;17;1884,00;102718,00;6042,00;;;114254183,76 €;6720834,34 €
2016;UR;01;Centro;011;PALACIO;T;Espectáculos;5;1939,00;84965,00;16993,00;;;155716509,31 €;31143301,86 €
2016;UR;01;Centro;011;PALACIO;V;Residencial;13239;1928,00;1364761,00;103,00;;;1855767075,52 €;140174,26 €
2016;UR;01;Centro;011;PALACIO;Y;Sanidad y Beneficencia;11;1939,00;25101,00;2282,00;;;25184133,43 €;2289466,68 €
2016;UR;01;Centro;012;EMBAJADORES;A;Almacén-Estacionamiento;4095;1975,00;263195,00;64,00;;;140890773,90 €;34405,56 €
2016;UR;01;Centro;012;EMBAJADORES;C;Comercial;2642;1926,00;395324,00;150,00;;;576897286,70 €;218356,28 €
2016;UR;01;Centro;012;EMBAJADORES;E;Cultural;48;1920,00;186078,00;3877,00;;;212632300,22 €;4429839,59 €
